Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report,Season,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Poss,Team,Result_Num,Opponent_Num,Venue_Num,Team_Num
2021-05-16,16:00,Regular Season,Sun,Home,W,5.0,0.0,Red Stars,4.0,21.0,9.0,42.9,0.14,0.33,15.5,0.0,1.0,1.0,3.6,2.8,0.14,0.4,0.2,Match Report,2021,1.0,0.0,7.0,7.0,2.0,26.0,13.0,11.0,1.0,0.0,0.0,71.0,57.0,Portland Thorns,1,9,1,0
2021-05-23,15:00,Regular Season,Sun,Home,L,1.0,2.0,Reign,1.0,23.0,9.0,39.1,0.04,0.11,15.5,2.0,0.0,0.0,2.1,2.1,0.09,-1.1,-1.1,Match Report,2021,1.0,0.0,12.0,9.0,2.0,29.0,11.0,9.0,0.0,0.0,0.0,78.0,60.0,Portland Thorns,-1,10,1,0
2021-05-26,19:00,Regular Season,Wed,Away,L,1.0,2.0,Pride,1.0,21.0,8.0,38.1,0.05,0.13,20.7,0.0,0.0,0.0,1.1,1.1,0.05,-0.1,-0.1,Match Report,2021,2.0,0.0,9.0,5.0,3.0,28.0,16.0,15.0,0.0,0.0,0.0,69.0,56.0,Portland Thorns,-1,8,0,0
2021-05-30,15:00,Regular Season,Sun,Away,W,1.0,0.0,Gotham FC,1.0,22.0,8.0,36.4,0.05,0.13,17.4,0.0,0.0,0.0,1.5,1.5,0.07,-0.5,-0.5,Match Report,2021,2.0,0.0,6.0,10.0,2.0,19.0,14.0,10.0,0.0,0.0,0.0,73.0,48.0,Portland Thorns,1,5,0,0
2021-06-05,19:30,Regular Season,Sat,Home,W,3.0,0.0,Louisville,3.0,28.0,12.0,42.9,0.11,0.25,18.4,0.0,0.0,0.0,3.3,3.3,0.12,-0.3,-0.3,Match Report,2021,1.0,0.0,10.0,7.0,2.0,33.0,8.0,13.0,0.0,0.0,0.0,75.0,59.0,Portland Thorns,1,7,1,0
2021-06-20,13:00,Regular Season,Sun,Home,W,1.0,0.0,Kansas City,1.0,18.0,5.0,27.8,0.06,0.2,16.3,0.0,0.0,1.0,3.3,2.5,0.14,-2.3,-1.5,Match Report,2021,0.0,0.0,15.0,7.0,2.0,35.0,7.0,13.0,0.0,0.0,0.0,55.0,59.0,Portland Thorns,1,6,1,0
2021-06-26,19:00,Regular Season,Sat,Away,L,0.0,2.0,Courage,0.0,16.0,3.0,18.8,0.0,0.0,18.8,0.0,0.0,0.0,1.5,1.5,0.09,-1.5,-1.5,Match Report,2021,1.0,0.0,6.0,4.0,0.0,18.0,9.0,11.0,0.0,0.0,0.0,69.0,51.0,Portland Thorns,-1,2,0,0
2021-07-03,19:30,Regular Season,Sat,Away,W,2.0,0.0,Louisville,2.0,16.0,6.0,37.5,0.06,0.17,16.7,0.0,1.0,1.0,2.2,1.4,0.09,-0.2,-0.4,Match Report,2021,0.0,0.0,5.0,6.0,1.0,24.0,17.0,19.0,1.0,0.0,0.0,64.0,55.0,Portland Thorns,1,7,0,0
2021-07-11,12:00,Regular Season,Sun,Home,D,0.0,0.0,Gotham FC,0.0,22.0,4.0,18.2,0.0,0.0,16.0,0.0,0.0,0.0,2.1,2.1,0.1,-2.1,-2.1,Match Report,2021,0.0,0.0,11.0,10.0,2.0,23.0,7.0,10.0,0.0,0.0,0.0,71.0,48.0,Portland Thorns,0,5,1,0
2021-07-18,19:30,Regular Season,Sun,Home,W,2.0,1.0,Pride,2.0,19.0,4.0,21.1,0.11,0.5,18.2,0.0,0.0,1.0,2.4,1.6,0.08,-0.4,0.4,Match Report,2021,2.0,0.0,17.0,13.0,1.0,28.0,15.0,11.0,1.0,0.0,0.0,65.0,54.0,Portland Thorns,1,8,1,0
2021-07-24,19:30,Regular Season,Sat,Away,W,1.0,0.0,Dash,1.0,14.0,3.0,21.4,0.07,0.33,19.9,0.0,0.0,0.0,1.2,1.2,0.09,-0.2,-0.2,Match Report,2021,2.0,0.0,8.0,8.0,2.0,17.0,12.0,15.0,0.0,0.0,0.0,75.0,52.0,Portland Thorns,1,4,0,0
2021-08-01,12:00,Regular Season,Sun,Home,W,2.0,0.0,Kansas City,1.0,20.0,7.0,35.0,0.05,0.14,14.2,0.0,0.0,0.0,1.6,1.6,0.08,-0.6,-0.6,Match Report,2021,1.0,0.0,10.0,11.0,2.0,24.0,12.0,7.0,0.0,0.0,0.0,58.0,54.0,Portland Thorns,1,6,1,0
2021-08-07,19:30,Regular Season,Sat,Away,W,1.0,0.0,Spirit,1.0,10.0,3.0,30.0,0.1,0.33,14.8,0.0,0.0,0.0,1.5,1.5,0.15,-0.5,-0.5,Match Report,2021,1.0,0.0,3.0,12.0,3.0,20.0,15.0,18.0,0.0,0.0,0.0,71.0,52.0,Portland Thorns,1,12,0,0
2021-08-14,19:00,Regular Season,Sat,Away,D,1.0,1.0,Pride,1.0,17.0,4.0,23.5,0.06,0.25,20.2,0.0,0.0,0.0,0.8,0.8,0.05,0.2,0.2,Match Report,2021,1.0,0.0,11.0,13.0,4.0,15.0,7.0,13.0,0.0,0.0,0.0,78.0,54.0,Portland Thorns,0,8,0,0
2021-08-25,19:30,Regular Season,Wed,Home,W,2.0,1.0,Gotham FC,2.0,19.0,8.0,42.1,0.05,0.13,18.7,1.0,1.0,1.0,2.8,2.0,0.1,-0.8,-1.0,Match Report,2021,1.0,0.0,17.0,11.0,5.0,15.0,12.0,10.0,1.0,0.0,0.0,76.0,41.0,Portland Thorns,1,5,1,0
2021-08-29,16:00,Regular Season,Sun,Away,L,1.0,2.0,Reign,1.0,19.0,6.0,31.6,0.05,0.17,19.8,0.0,0.0,0.0,1.2,1.2,0.06,-0.2,-0.2,Match Report,2021,1.0,0.0,10.0,12.0,4.0,25.0,12.0,9.0,0.0,1.0,0.0,77.0,60.0,Portland Thorns,-1,10,0,0
2021-09-12,15:00,Regular Season,Sun,Away,W,1.0,0.0,Courage,1.0,24.0,8.0,33.3,0.04,0.13,20.6,0.0,0.0,0.0,1.5,1.5,0.06,-0.5,-0.5,Match Report,2021,1.0,0.0,9.0,7.0,2.0,20.0,9.0,9.0,0.0,0.0,0.0,62.0,52.0,Portland Thorns,1,2,0,0
2021-09-25,19:00,Regular Season,Sat,Away,L,1.0,2.0,Red Stars,1.0,14.0,2.0,14.3,0.07,0.5,17.8,1.0,0.0,0.0,0.7,0.7,0.05,0.3,0.3,Match Report,2021,1.0,0.0,5.0,7.0,2.0,30.0,12.0,11.0,0.0,0.0,0.0,51.0,59.0,Portland Thorns,-1,9,0,0
2021-10-06,19:00,Regular Season,Wed,Home,L,2.0,3.0,Dash,2.0,26.0,9.0,34.6,0.08,0.22,18.1,0.0,0.0,0.0,2.1,2.1,0.08,-0.1,-0.1,Match Report,2021,2.0,0.0,12.0,7.0,3.0,21.0,10.0,12.0,0.0,1.0,0.0,71.0,59.0,Portland Thorns,-1,4,1,0
2021-10-10,16:00,Regular Season,Sun,Away,D,0.0,0.0,Kansas City,0.0,17.0,2.0,11.8,0.0,0.0,18.3,0.0,0.0,1.0,1.6,0.8,0.05,-1.6,-0.8,Match Report,2021,0.0,0.0,10.0,7.0,2.0,30.0,6.0,10.0,1.0,0.0,0.0,69.0,55.0,Portland Thorns,0,6,0,0
2021-10-13,19:30,Regular Season,Wed,Home,D,1.0,1.0,Reign,1.0,23.0,4.0,17.4,0.04,0.25,20.1,0.0,0.0,0.0,1.3,1.3,0.06,-0.3,-0.3,Match Report,2021,0.0,0.0,9.0,7.0,0.0,25.0,15.0,12.0,0.0,1.0,0.0,85.0,47.0,Portland Thorns,0,10,1,0
2021-10-17,18:00,Regular Season,Sun,Away,W,1.0,0.0,Dash,1.0,16.0,4.0,25.0,0.06,0.25,16.5,1.0,0.0,0.0,2.3,2.3,0.14,-1.3,-1.3,Match Report,2021,1.0,0.0,14.0,5.0,1.0,15.0,12.0,12.0,0.0,0.0,0.0,71.0,48.0,Portland Thorns,1,4,0,0
2021-10-30,19:00,Regular Season,Sat,Home,D,0.0,0.0,Courage,0.0,19.0,5.0,26.3,0.0,0.0,17.4,0.0,0.0,0.0,1.8,1.8,0.1,-1.8,-1.8,Match Report,2021,0.0,0.0,13.0,5.0,1.0,31.0,13.0,10.0,0.0,0.0,0.0,54.0,49.0,Portland Thorns,0,2,1,0
2021-11-14,14:30,Semifinals,Sun,Home,L,0.0,2.0,Red Stars,0.0,21.0,7.0,33.3,0.0,0.0,18.4,0.0,0.0,0.0,1.0,1.0,0.05,-1.0,-1.0,Match Report,2021,1.0,0.0,10.0,8.0,2.0,30.0,9.0,9.0,0.0,0.0,0.0,71.0,61.0,Portland Thorns,-1,9,1,0
2022-04-30,15:00,Regular Season,Sat,Home,W,3.0,0.0,Current,3.0,19.0,12.0,63.2,0.16,0.25,17.3,0.0,0.0,0.0,2.1,2.1,0.12,0.9,0.9,Match Report,2022,0.0,0.0,6.0,6.0,1.0,10.0,12.0,13.0,0.0,0.0,0.0,74.0,56.0,Portland Thorns,1,3,1,0
2022-05-13,19:30,Regular Season,Fri,Home,D,0.0,0.0,Reign,0.0,17.0,6.0,35.3,0.0,0.0,20.7,0.0,0.0,0.0,1.1,1.1,0.07,-1.1,-1.1,Match Report,2022,0.0,0.0,8.0,6.0,2.0,15.0,14.0,8.0,0.0,0.0,0.0,73.0,48.0,Portland Thorns,0,10,1,0
2022-05-18,19:00,Regular Season,Wed,Home,D,1.0,1.0,Spirit,1.0,13.0,3.0,23.1,0.08,0.33,16.4,0.0,0.0,0.0,1.4,1.4,0.11,-0.4,-0.4,Match Report,2022,1.0,0.0,6.0,8.0,2.0,15.0,8.0,9.0,0.0,0.0,0.0,57.0,48.0,Portland Thorns,0,12,1,0
2022-05-21,15:00,Regular Season,Sat,Home,L,0.0,2.0,Dash,0.0,17.0,4.0,23.5,0.0,0.0,17.0,0.0,0.0,0.0,1.2,1.2,0.07,-1.2,-1.2,Match Report,2022,1.0,0.0,5.0,8.0,1.0,24.0,12.0,9.0,0.0,0.0,0.0,56.0,60.0,Portland Thorns,-1,4,1,0
2022-05-28,19:00,Regular Season,Sat,Away,D,2.0,2.0,Red Stars,2.0,11.0,3.0,27.3,0.18,0.67,17.9,0.0,0.0,0.0,0.9,0.9,0.08,1.1,1.1,Match Report,2022,2.0,0.0,13.0,6.0,3.0,21.0,9.0,10.0,0.0,0.0,0.0,56.0,50.0,Portland Thorns,0,9,0,0
2022-06-03,19:30,Regular Season,Fri,Home,W,3.0,0.0,Angel City,3.0,19.0,8.0,42.1,0.16,0.38,14.9,0.0,0.0,0.0,1.8,1.8,0.09,1.2,1.2,Match Report,2022,1.0,0.0,8.0,11.0,0.0,16.0,13.0,12.0,0.0,0.0,0.0,57.0,41.0,Portland Thorns,1,0,1,0
2022-06-08,19:00,Regular Season,Wed,Away,D,2.0,2.0,Wave,2.0,8.0,3.0,37.5,0.13,0.33,19.5,0.0,1.0,1.0,1.7,0.9,0.12,0.3,0.1,Match Report,2022,2.0,0.0,8.0,7.0,0.0,9.0,10.0,8.0,1.0,0.0,0.0,45.0,39.0,Portland Thorns,0,13,0,0
2022-06-12,18:00,Regular Season,Sun,Away,W,4.0,0.0,Dash,3.0,19.0,6.0,31.6,0.11,0.33,22.7,0.0,1.0,1.0,2.6,1.8,0.1,0.4,0.2,Match Report,2022,2.0,0.0,7.0,10.0,0.0,10.0,13.0,9.0,1.0,0.0,0.0,59.0,52.0,Portland Thorns,1,4,0,0
2022-06-19,12:00,Regular Season,Sun,Home,W,6.0,0.0,Pride,6.0,27.0,12.0,44.4,0.22,0.5,16.4,2.0,0.0,0.0,4.1,4.1,0.15,1.9,1.9,Match Report,2022,1.0,0.0,6.0,12.0,2.0,17.0,19.0,13.0,0.0,0.0,0.0,63.0,53.0,Portland Thorns,1,8,1,0
